year,year_code,country_name,country_code,region,region_code,economic_fitness_matrix,economic_fitness_ranking
1996,YR1996,Uzbekistan,UZB,Europe & Central Asia,ECA,0.20037,79
1996,YR1996,"Venezuela, RB",VEN,Latin America & Caribbean,LAC,0.19595,80
1996,YR1996,Vietnam,VNM,East Asia & Pacific,EAP,0.34549,72
1996,YR1996,"Yemen, Rep.",YEM,Middle East & North Africa,MENA,5.10E-05,139
1996,YR1996,Zambia,ZMB,Sub-Saharan Africa,SSA,0.027963,122
1996,YR1996,Zimbabwe,ZWE,Sub-Saharan Africa,SSA,0.19333,81
1997,YR1997,Afghanistan,AFG,South Asia,SA,0.21925,81
1997,YR1997,Albania,ALB,Europe & Central Asia,ECA,0.37589,74
1997,YR1997,Algeria,DZA,Middle East & North Africa,MENA,0.0039139,130
1997,YR1997,Andorra,AND,Europe & Central Asia,ECA,0.85326,51
1997,YR1997,Angola,AGO,Sub-Saharan Africa,SSA,3.86E-113,146
1997,YR1997,Argentina,ARG,Latin America & Caribbean,LAC,0.92882,47
1997,YR1997,Armenia,ARM,Europe & Central Asia,ECA,1.1829,37
1997,YR1997,Australia,AUS,East Asia & Pacific,EAP,1.1126,40
1997,YR1997,Austria,AUT,Europe & Central Asia,ECA,3.8046,12
1997,YR1997,Azerbaijan,AZE,Europe & Central Asia,ECA,0.33687,76
1997,YR1997,Bahrain,BHR,Middle East & North Africa,MENA,0.038674,114
1997,YR1997,Bangladesh,BGD,South Asia,SA,0.14994,93
1997,YR1997,Belarus,BLR,Europe & Central Asia,ECA,0.825,52
1997,YR1997,Belgium,BEL,Europe & Central Asia,ECA,5.059,7
1997,YR1997,Belize,BLZ,Latin America & Caribbean,LAC,0.060463,110
1997,YR1997,Benin,BEN,Sub-Saharan Africa,SSA,0.0068592,127
1997,YR1997,Bhutan,BTN,South Asia,SA,0.039535,113
1997,YR1997,Bolivia,BOL,Latin America & Caribbean,LAC,0.088189,106
1997,YR1997,Bosnia and Herzegovina,BIH,Europe & Central Asia,ECA,0.64991,57
1997,YR1997,Brazil,BRA,Latin America & Caribbean,LAC,1.5301,30
1997,YR1997,Brunei Darussalam,BRN,East Asia & Pacific,EAP,0.016519,123
1997,YR1997,Bulgaria,BGR,Europe & Central Asia,ECA,1.5655,29
1997,YR1997,Burkina Faso,BFA,Sub-Saharan Africa,SSA,0.12448,97
1997,YR1997,Burundi,BDI,Sub-Saharan Africa,SSA,0.0020183,135
1997,YR1997,Cambodia,KHM,East Asia & Pacific,EAP,0.047222,112
1997,YR1997,Cameroon,CMR,Sub-Saharan Africa,SSA,0.015522,124
1997,YR1997,Canada,CAN,North America,NA,1.9613,21
1997,YR1997,Central African Republic,CAF,Sub-Saharan Africa,SSA,0.035573,116
1997,YR1997,Chad,TCD,Sub-Saharan Africa,SSA,3.86E-14,141
1997,YR1997,Chile,CHL,Latin America & Caribbean,LAC,0.50715,62
1997,YR1997,China,CHN,East Asia & Pacific,EAP,3.8326,10
1997,YR1997,Colombia,COL,Latin America & Caribbean,LAC,0.4551,67
1997,YR1997,"Congo, Dem. Rep.",COD,Sub-Saharan Africa,SSA,2.43E-07,136
1997,YR1997,"Congo, Rep.",COG,Sub-Saharan Africa,SSA,3.53E-09,139
1997,YR1997,Costa Rica,CRI,Latin America & Caribbean,LAC,0.41364,72
